Nombre;Posición;Peso;Altura
Orles Aragón;Delanteros;;
Felipe Banguero;Defensas;74;1.84
Oscar David Barreto;Mediocampistas;68;1.73
Omar Bertel;Defensas;;
Andrés Cadavid;Defensas;87;1.88
César Carrillo;Mediocampistas;;1.79
Matias De Los Santos;Defensas;;
Ayron del Valle;Delanteros;;
Juan Domínguez;Mediocampistas;;1.75
Jhon Duque;Mediocampistas;;1.74
Wuilker Fariñez;Arqueros;;1.81
Anier Figueroa;Defensas;;1.84
Gabriel Hauche;Delanteros;;1.68
Christian Huérfano;Delanteros;;
Carlos López;Delanteros;;1.82
Cristian Camilo Marrugo;Mediocampistas;75;1.77
Santiago Montoya;Mediocampistas;;1.73
Juan Moreno;Arqueros;;
Nicolás Murcia;Mediocampistas;;
Roberto Ovelar;Delanteros;80;1.80
Jair Palacios;Defensas;;1.78
Breiner Paz;Defensas;;
Eliser Quiñones;Delanteros;;1.73
Janeiler Rivas;Defensas;;1.94
Henry Rojas;Mediocampistas;69;1.77
Felipe Román;Defensas;80;1.83
Juan Camilo Salazar;Delanteros;;
Ramiro Sánchez;Arqueros;80;1.86
David Silva;Mediocampistas;75;1.74
Jader Valencia;Delanteros;;
